Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-72187,mRNA 3'-end processing,2,58,0.00393995,0.064943512,0.28008088,3,3,2.27E-04,9606,Homo sapiens,TPD52;CPSF1,,R-HSA-8849157;R-HSA-72180;R-HSA-72185
R-HSA-912446,Meiotic recombination,2,58,0.00393995,0.064943512,0.28008088,2,9,6.80E-04,9606,Homo sapiens,PSMC3IP;BRCA1,,R-HSA-912458;R-HSA-912503
R-HSA-5666185,RHO GTPases Activate Rhotekin and Rhophilins,1,10,6.79E-04,0.068864913,0.28008088,2,6,4.54E-04,9606,Homo sapiens,RHPN1,,R-HSA-5667008;R-HSA-5667052
R-HSA-6794361,Neurexins and neuroligins,2,60,0.00407581,0.068875157,0.28008088,2,19,0.001436239,9606,Homo sapiens,SHARPIN;STX1A,,R-HSA-6794353;R-HSA-6794351
R-HSA-69239,Synthesis of DNA,3,133,0.009034712,0.070267526,0.28008088,4,26,0.001965379,9606,Homo sapiens,CCNE2;UBE2C;GINS4,,R-HSA-69015;R-HSA-69005;R-HSA-176942;R-HSA-176956
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,2,62,0.00421167,0.072883366,0.28008088,6,7,5.29E-04,9606,Homo sapiens,CCNE2;CCND1,,R-HSA-187552;R-HSA-187520;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-8848414
R-HSA-1221632,Meiotic synapsis,2,62,0.00421167,0.072883366,0.28008088,4,6,4.54E-04,9606,Homo sapiens,BRCA1;TERF1,,R-HSA-912408;R-HSA-912470;R-HSA-912467;R-HSA-912450
R-HSA-442380,Zinc influx into cells by the SLC39 gene family,1,11,7.47E-04,0.075487467,0.28008088,1,6,4.54E-04,9606,Homo sapiens,SLC39A4,,R-HSA-442422
R-HSA-68886,M Phase,6,416,0.02825895,0.077765626,0.28008088,24,91,0.006878827,9606,Homo sapiens,NUP107;ESPL1;UBE2C;BRCA1;TUBG1,,R-HSA-9648114;R-HSA-174144;R-HSA-375302;R-HSA-2467809;R-HSA-2467811;R-HSA-1638803;R-HSA-9634169;R-HSA-174121;R-HSA-2990880;R-HSA-2990882;R-HSA-9615901;R-HSA-2467798;R-HSA-2484822;R-HSA-9615937;R-HSA-9634219;R-HSA-9618378;R-HSA-174202;R-HSA-380316;R-HSA-380508;R-HSA-2529020;R-HSA-2467775;R-HSA-2468287;R-HSA-9615945;R-HSA-1638821
R-HSA-1483166,Synthesis of PA,2,65,0.004415461,0.079032893,0.28008088,3,17,0.001285056,9606,Homo sapiens,AGPAT6;DDHD2,,R-HSA-549112;R-HSA-75885;R-HSA-6786650
R-HSA-69306,DNA Replication,3,142,0.009646084,0.081783161,0.28008088,4,47,0.003552801,9606,Homo sapiens,CCNE2;UBE2C;GINS4,,R-HSA-69015;R-HSA-69005;R-HSA-176942;R-HSA-176956
R-HSA-430116,GP1b-IX-V activation signalling,1,12,8.15E-04,0.082063365,0.28008088,4,7,5.29E-04,9606,Homo sapiens,YWHAZ,,R-HSA-443831;R-HSA-430076;R-HSA-443402;R-HSA-430073
R-HSA-176974,Unwinding of DNA,1,12,8.15E-04,0.082063365,0.28008088,2,4,3.02E-04,9606,Homo sapiens,GINS4,,R-HSA-176942;R-HSA-176956
R-HSA-428543,Inactivation of CDC42 and RAC1,1,12,8.15E-04,0.082063365,0.28008088,2,4,3.02E-04,9606,Homo sapiens,SRGAP1,,R-HSA-428533;R-HSA-376145
R-HSA-201688,WNT mediated activation of DVL,1,12,8.15E-04,0.082063365,0.28008088,1,4,3.02E-04,9606,Homo sapiens,BRCA1,,R-HSA-201717
R-HSA-198693,AKT phosphorylates targets in the nucleus,1,12,8.15E-04,0.082063365,0.28008088,1,4,3.02E-04,9606,Homo sapiens,RPS6KB2,,R-HSA-199839
R-HSA-9013700,NOTCH4 Activation and Transmission of Signal to the Nucleus,1,12,8.15E-04,0.082063365,0.28008088,1,5,3.78E-04,9606,Homo sapiens,YWHAZ,,R-HSA-9604308
R-HSA-73856,RNA Polymerase II Transcription Termination,2,67,0.004551321,0.083219928,0.28008088,2,4,3.02E-04,9606,Homo sapiens,TPD52;CPSF1,,R-HSA-72180;R-HSA-77592
R-HSA-8934903,Receptor Mediated Mitophagy,1,13,8.83E-04,0.088592932,0.28008088,1,7,5.29E-04,9606,Homo sapiens,BRCA1,,R-HSA-8948039
R-HSA-6784531,tRNA processing in the nucleus,2,70,0.004755112,0.089624637,0.28008088,2,7,5.29E-04,9606,Homo sapiens,NUP107;CPSF1,,R-HSA-5696813;R-HSA-6783483
R-HSA-2559586,DNA Damage/Telomere Stress Induced Senescence,2,71,0.004823042,0.091791309,0.28008088,2,18,0.001360647,9606,Homo sapiens,CCNE2;TERF1,,R-HSA-3785711;R-HSA-69562
R-HSA-1632852,Macroautophagy,3,150,0.010189525,0.092658029,0.28008088,7,87,0.006576461,9606,Homo sapiens,MTERFD1;HSF1;BRCA1,,R-HSA-5205663;R-HSA-9646354;R-HSA-5205673;R-HSA-9646347;R-HSA-5205682;R-HSA-5205649;R-HSA-8948039
R-HSA-9614399,Regulation of localization of FOXO transcription factors,1,14,9.51E-04,0.095076492,0.28008088,3,5,3.78E-04,9606,Homo sapiens,YWHAZ,,R-HSA-9614562;R-HSA-9614423;R-HSA-9614564
R-HSA-77108,Utilization of Ketone Bodies,1,14,9.51E-04,0.095076492,0.28008088,1,3,2.27E-04,9606,Homo sapiens,CSE1L,,R-HSA-73920
R-HSA-5682910,LGI-ADAM interactions,1,14,9.51E-04,0.095076492,0.28008088,1,5,3.78E-04,9606,Homo sapiens,STX1A,,R-HSA-5682802
R-HSA-69481,G2/M Checkpoints,3,154,0.010461246,0.098309725,0.28008088,5,24,0.001814196,9606,Homo sapiens,BRCA1;YWHAZ;RAD9A,,R-HSA-5683735;R-HSA-69891;R-HSA-6799332;R-HSA-75016;R-HSA-176264
R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,2,75,0.005094763,0.100608174,0.28008088,2,4,3.02E-04,9606,Homo sapiens,CCNE2;UBE2C,,R-HSA-69015;R-HSA-69005
R-HSA-418359,Reduction of cytosolic Ca++ levels,1,15,0.001018953,0.101514365,0.28008088,1,3,2.27E-04,9606,Homo sapiens,ATP2A2,,R-HSA-418365
R-HSA-2514853,Condensation of Prometaphase Chromosomes,1,15,0.001018953,0.101514365,0.28008088,1,4,3.02E-04,9606,Homo sapiens,BRCA1,,R-HSA-2529020
R-HSA-75035,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex,1,15,0.001018953,0.101514365,0.28008088,1,5,3.78E-04,9606,Homo sapiens,YWHAZ,,R-HSA-75016
R-HSA-9675135,Diseases of DNA repair,1,15,0.001018953,0.101514365,0.28008088,2,27,0.002040971,9606,Homo sapiens,BRCA1,,R-HSA-9699163;R-HSA-9663194
R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,1,16,0.001086883,0.10790687,0.28008088,5,7,5.29E-04,9606,Homo sapiens,FRS2,,R-HSA-9032073;R-HSA-9028728;R-HSA-9028730;R-HSA-9031981;R-HSA-9032067
R-HSA-8951936,RUNX3 regulates p14-ARF,1,16,0.001086883,0.10790687,0.28008088,3,8,6.05E-04,9606,Homo sapiens,CCND1,,R-HSA-8952058;R-HSA-8952062;R-HSA-8952069
R-HSA-159236,Transport of Mature mRNA derived from an Intron-Containing Transcript,2,81,0.005502344,0.114249654,0.28008088,4,4,3.02E-04,9606,Homo sapiens,TPD52;NUP107,,R-HSA-75097;R-HSA-75096;R-HSA-75098;R-HSA-159101
R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,2,81,0.005502344,0.114249654,0.28008088,3,3,2.27E-04,9606,Homo sapiens,TUBG1,,R-HSA-380311;R-HSA-380455;R-HSA-380283
R-HSA-3108214,SUMOylation of DNA damage response and repair proteins,2,81,0.005502344,0.114249654,0.28008088,6,24,0.001814196,9606,Homo sapiens,NUP107;BRCA1,,R-HSA-2997709;R-HSA-3000348;R-HSA-3000399;R-HSA-5228508;R-HSA-3000411;R-HSA-2997616
R-HSA-8853334,Signaling by FGFR3 fusions in cancer,1,17,0.001154813,0.114254324,0.28008088,7,9,6.80E-04,9606,Homo sapiens,FRS2,,R-HSA-8853316;R-HSA-8853315;R-HSA-8853314;R-HSA-8853310;R-HSA-8853308;R-HSA-8853323;R-HSA-8853307
R-HSA-170968,Frs2-mediated activation,1,17,0.001154813,0.114254324,0.28008088,5,13,9.83E-04,9606,Homo sapiens,FRS2,,R-HSA-170978;R-HSA-170979;R-HSA-170977;R-HSA-170964;R-HSA-170975
R-HSA-196843,Vitamin B2 (riboflavin) metabolism,1,17,0.001154813,0.114254324,0.28008088,1,5,3.78E-04,9606,Homo sapiens,GPR172A,,R-HSA-3165230
R-HSA-4839726,Chromatin organization,4,260,0.017661844,0.115911729,0.28008088,12,85,0.006425278,9606,Homo sapiens,MYST3;C20orf20;CCND1;ASH2L,,R-HSA-5637686;R-HSA-5159245;R-HSA-3215426;R-HSA-5244692;R-HSA-3318486;R-HSA-3321975;R-HSA-5216234;R-HSA-5205799;R-HSA-3215385;R-HSA-5205861;R-HSA-5579023;R-HSA-5661117
R-HSA-3247509,Chromatin modifying enzymes,4,260,0.017661844,0.115911729,0.28008088,12,85,0.006425278,9606,Homo sapiens,MYST3;C20orf20;CCND1;ASH2L,,R-HSA-5637686;R-HSA-5159245;R-HSA-3215426;R-HSA-5244692;R-HSA-3318486;R-HSA-3321975;R-HSA-5216234;R-HSA-5205799;R-HSA-3215385;R-HSA-5205861;R-HSA-5579023;R-HSA-5661117
R-HSA-9612973,Autophagy,3,166,0.011276408,0.116068365,0.28008088,7,108,0.008163882,9606,Homo sapiens,MTERFD1;HSF1;BRCA1,,R-HSA-5205663;R-HSA-9646354;R-HSA-5205673;R-HSA-9646347;R-HSA-5205682;R-HSA-5205649;R-HSA-8948039
R-HSA-380287,Centrosome maturation,2,83,0.005638204,0.118898178,0.28008088,6,6,4.54E-04,9606,Homo sapiens,TUBG1,,R-HSA-380311;R-HSA-380455;R-HSA-380294;R-HSA-380272;R-HSA-380303;R-HSA-380283
R-HSA-177504,Retrograde neurotrophin signalling,1,18,0.001222743,0.120557042,0.28008088,1,3,2.27E-04,9606,Homo sapiens,YTHDF1,,R-HSA-177501
R-HSA-435354,Zinc transporters,1,18,0.001222743,0.120557042,0.28008088,1,13,9.83E-04,9606,Homo sapiens,SLC39A4,,R-HSA-442422
R-HSA-73894,DNA Repair,5,369,0.025066232,0.124617635,0.28008088,49,332,0.025096379,9606,Homo sapiens,EME1;BRCA1;TERF1;RAD9A,,R-HSA-69891;R-HSA-5684052;R-HSA-5686483;R-HSA-5685341;R-HSA-5683801;R-HSA-9700998;R-HSA-5686469;R-HSA-5685838;R-HSA-9629195;R-HSA-9701000;R-HSA-5686475;R-HSA-9701003;R-HSA-6785732;R-HSA-5686642;R-HSA-6785986;R-HSA-5693564;R-HSA-9629497;R-HSA-9629372;R-HSA-5693561;R-HSA-9629373;R-HSA-5693542;R-HSA-5684071;R-HSA-9629216;R-HSA-5693539;R-HSA-5685985;R-HSA-5693551;R-HSA-9629483;R-HSA-5685994;R-HSA-9707051;R-HSA-5683735;R-HSA-5684887;R-HSA-5693589;R-HSA-5684882;R-HSA-5685011;R-HSA-5693584;R-HSA-5686430;R-HSA-5686685;R-HSA-5693593;R-HSA-5659781;R-HSA-5686657;R-HSA-5684108;R-HSA-5693580;R-HSA-5686410;R-HSA-5684875;R-HSA-5693620;R-HSA-5683385;R-HSA-5685156;R-HSA-5693608;R-HSA-5686440
R-HSA-77595,Processing of Intronless Pre-mRNAs,1,19,0.001290673,0.126815335,0.28008088,5,5,3.78E-04,9606,Homo sapiens,CPSF1,,R-HSA-77589;R-HSA-77591;R-HSA-77590;R-HSA-77593;R-HSA-77592
R-HSA-5655291,Signaling by FGFR4 in disease,1,19,0.001290673,0.126815335,0.28008088,7,15,0.001133873,9606,Homo sapiens,FRS2,,R-HSA-5655351;R-HSA-5655252;R-HSA-5655348;R-HSA-5655284;R-HSA-5655235;R-HSA-5655347;R-HSA-5655248
R-HSA-111447,Activation of BAD and translocation to mitochondria ,1,19,0.001290673,0.126815335,0.28008088,2,5,3.78E-04,9606,Homo sapiens,YWHAZ,,R-HSA-139906;R-HSA-139899
R-HSA-69202,Cyclin E associated events during G1/S transition ,2,88,0.005977855,0.130719546,0.28008088,14,20,0.00151183,9606,Homo sapiens,CCNE2;CCND1,,R-HSA-188386;R-HSA-187552;R-HSA-187520;R-HSA-188390;R-HSA-69191;R-HSA-69195;R-HSA-69199;R-HSA-157906;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-8848414;R-HSA-69562;R-HSA-188350
R-HSA-176412,Phosphorylation of the APC/C,1,20,0.001358603,0.133029514,0.28008088,2,2,1.51E-04,9606,Homo sapiens,UBE2C,,R-HSA-174119;R-HSA-174132
R-HSA-9687136,Aberrant regulation of mitotic exit in cancer due to RB1 defects,1,20,0.001358603,0.133029514,0.28008088,1,1,7.56E-05,9606,Homo sapiens,UBE2C,,R-HSA-9687377
R-HSA-9603798,Class I peroxisomal membrane protein import,1,20,0.001358603,0.133029514,0.28008088,3,6,4.54E-04,9606,Homo sapiens,GDAP1,,R-HSA-9603784;R-HSA-9603775;R-HSA-9603804
R-HSA-169893,Prolonged ERK activation events,1,20,0.001358603,0.133029514,0.28008088,5,19,0.001436239,9606,Homo sapiens,FRS2,,R-HSA-170978;R-HSA-170979;R-HSA-170977;R-HSA-170964;R-HSA-170975
R-HSA-450604,KSRP (KHSRP) binds and destabilizes mRNA,1,20,0.001358603,0.133029514,0.28008088,1,5,3.78E-04,9606,Homo sapiens,YWHAZ,,R-HSA-450620
R-HSA-5693607,Processing of DNA double-strand break ends,2,90,0.006113715,0.135522376,0.28008088,12,17,0.001285056,9606,Homo sapiens,BRCA1;RAD9A,,R-HSA-5693542;R-HSA-5684887;R-HSA-5684071;R-HSA-5684052;R-HSA-5685156;R-HSA-5684882;R-HSA-5685011;R-HSA-5685985;R-HSA-5684108;R-HSA-5685994;R-HSA-5684875;R-HSA-5693608
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,2,90,0.006113715,0.135522376,0.28008088,6,19,0.001436239,9606,Homo sapiens,CCNE2;CCND1,,R-HSA-187552;R-HSA-187520;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-8848414
R-HSA-430039,mRNA decay by 5' to 3' exoribonuclease,1,21,0.001426534,0.139199888,0.28008088,3,3,2.27E-04,9606,Homo sapiens,LSM1,,R-HSA-429860;R-HSA-429845;R-HSA-429978
R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex,1,21,0.001426534,0.139199888,0.28008088,1,2,1.51E-04,9606,Homo sapiens,UBE2C,,R-HSA-141423
R-HSA-141405,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,1,21,0.001426534,0.139199888,0.28008088,1,3,2.27E-04,9606,Homo sapiens,UBE2C,,R-HSA-141423
R-HSA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,1,21,0.001426534,0.139199888,0.28008088,1,18,0.001360647,9606,Homo sapiens,ATAD2,,R-HSA-8937369
R-HSA-69052,Switching of origins to a post-replicative state,2,93,0.006317506,0.142799619,0.28008088,2,9,6.80E-04,9606,Homo sapiens,CCNE2;UBE2C,,R-HSA-69015;R-HSA-69005
R-HSA-6794362,Protein-protein interactions at synapses,2,93,0.006317506,0.142799619,0.28008088,2,33,0.00249452,9606,Homo sapiens,SHARPIN;STX1A,,R-HSA-6794353;R-HSA-6794351
R-HSA-174437,Removal of the Flap Intermediate from the C-strand,1,22,0.001494464,0.145326761,0.28008088,4,4,3.02E-04,9606,Homo sapiens,TERF1,,R-HSA-174451;R-HSA-174441;R-HSA-174446;R-HSA-174445
R-HSA-174430,Telomere C-strand synthesis initiation,1,22,0.001494464,0.145326761,0.28008088,3,4,3.02E-04,9606,Homo sapiens,TERF1,,R-HSA-9668597;R-HSA-174427;R-HSA-174425
R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase,1,22,0.001494464,0.145326761,0.28008088,2,3,2.27E-04,9606,Homo sapiens,UBE2C,,R-HSA-174224;R-HSA-174070
R-HSA-5205685,PINK1-PRKN Mediated Mitophagy,1,22,0.001494464,0.145326761,0.28008088,4,8,6.05E-04,9606,Homo sapiens,MTERFD1,,R-HSA-5205663;R-HSA-5205673;R-HSA-5205682;R-HSA-5205649
R-HSA-181429,Serotonin Neurotransmitter Release Cycle,1,23,0.001562394,0.151410437,0.28008088,2,4,3.02E-04,9606,Homo sapiens,STX1A,,R-HSA-380901;R-HSA-380905
R-HSA-156711,Polo-like kinase mediated events,1,23,0.001562394,0.151410437,0.28008088,6,15,0.001133873,9606,Homo sapiens,MYBL2,,R-HSA-4088298;R-HSA-4088299;R-HSA-4088309;R-HSA-4088306;R-HSA-4088307;R-HSA-4088305
R-HSA-1912420,Pre-NOTCH Processing in Golgi,1,23,0.001562394,0.151410437,0.28008088,1,8,6.05E-04,9606,Homo sapiens,ATP2A2,,R-HSA-1912374
R-HSA-380320,Recruitment of NuMA to mitotic centrosomes,2,97,0.006589226,0.152628256,0.28008088,2,2,1.51E-04,9606,Homo sapiens,TUBG1,,R-HSA-380316;R-HSA-380508
R-HSA-74752,Signaling by Insulin receptor,2,97,0.006589226,0.152628256,0.28008088,3,34,0.002570111,9606,Homo sapiens,FRS2;ATP6V1C1,,R-HSA-74723;R-HSA-109699;R-HSA-5252133
R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,1,24,0.001630324,0.157451218,0.28008088,3,3,2.27E-04,9606,Homo sapiens,UBE2C,,R-HSA-174227;R-HSA-174120;R-HSA-174157
R-HSA-5654710,PI-3K cascade:FGFR3,1,24,0.001630324,0.157451218,0.28008088,6,7,5.29E-04,9606,Homo sapiens,FRS2,,R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654641;R-HSA-5654705;R-HSA-5654637
R-HSA-500753,Pyrimidine biosynthesis,1,24,0.001630324,0.157451218,0.28008088,3,6,4.54E-04,9606,Homo sapiens,SRGAP1,,R-HSA-73571;R-HSA-73573;R-HSA-73577
R-HSA-392517,Rap1 signalling,1,24,0.001630324,0.157451218,0.28008088,2,7,5.29E-04,9606,Homo sapiens,YWHAZ,,R-HSA-392513;R-HSA-913993
R-HSA-77111,Synthesis of Ketone Bodies,1,24,0.001630324,0.157451218,0.28008088,1,8,6.05E-04,9606,Homo sapiens,CSE1L,,R-HSA-73912
R-HSA-449836,Other interleukin signaling,1,24,0.001630324,0.157451218,0.28008088,1,17,0.001285056,9606,Homo sapiens,STX1A,,R-HSA-449117
R-HSA-390466,Chaperonin-mediated protein folding,2,100,0.006793017,0.160085441,0.28008088,2,19,0.001436239,9606,Homo sapiens,CCNE2;BRCA1,,R-HSA-390470;R-HSA-6814409
R-HSA-2467813,Separation of Sister Chromatids,3,195,0.013246383,0.163314631,0.28008088,7,8,6.05E-04,9606,Homo sapiens,NUP107;ESPL1;UBE2C,,R-HSA-174144;R-HSA-2467798;R-HSA-2467809;R-HSA-2467811;R-HSA-174202;R-HSA-2467775;R-HSA-174121
R-HSA-5654720,PI-3K cascade:FGFR4,1,25,0.001698254,0.163449404,0.28008088,6,7,5.29E-04,9606,Homo sapiens,FRS2,,R-HSA-5654662;R-HSA-5654659;R-HSA-5654669;R-HSA-5654717;R-HSA-5654714;R-HSA-5654667
R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,1,25,0.001698254,0.163449404,0.28008088,5,7,5.29E-04,9606,Homo sapiens,STX1A,,R-HSA-9609921;R-HSA-9609860;R-HSA-9610442;R-HSA-9609899;R-HSA-9609917
R-HSA-445144,Signal transduction by L1,1,25,0.001698254,0.163449404,0.28008088,1,11,8.32E-04,9606,Homo sapiens,BRCA1,,R-HSA-392752
R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,1,26,0.001766184,0.169405293,0.28008088,3,3,2.27E-04,9606,Homo sapiens,UBE2C,,R-HSA-179410;R-HSA-179417;R-HSA-179421
R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,1,26,0.001766184,0.169405293,0.28008088,2,6,4.54E-04,9606,Homo sapiens,STX1A,,R-HSA-372529;R-HSA-372505
R-HSA-2559583,Cellular Senescence,3,200,0.013586034,0.171983624,0.28008088,8,90,0.006803235,9606,Homo sapiens,CCNE2;UBE2C;TERF1,,R-HSA-3790137;R-HSA-3785711;R-HSA-3788705;R-HSA-69562;R-HSA-3790130;R-HSA-3788725;R-HSA-3788724;R-HSA-3788708
R-HSA-391251,Protein folding,2,106,0.007200598,0.175193052,0.28008088,2,28,0.002116562,9606,Homo sapiens,CCNE2;BRCA1,,R-HSA-390470;R-HSA-6814409
R-HSA-5654706,FRS-mediated FGFR3 signaling,1,27,0.001834115,0.175319179,0.28008088,7,9,6.80E-04,9606,Homo sapiens,FRS2,,R-HSA-5654631;R-HSA-8941628;R-HSA-5654416;R-HSA-5654413;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409
R-HSA-8949215,Mitochondrial calcium ion transport,1,27,0.001834115,0.175319179,0.28008088,1,10,7.56E-04,9606,Homo sapiens,VDAC3,,R-HSA-8949145
R-HSA-5627123,RHO GTPases activate PAKs,1,27,0.001834115,0.175319179,0.28008088,1,15,0.001133873,9606,Homo sapiens,CTTN,,R-HSA-442832
R-HSA-5654689,PI-3K cascade:FGFR1,1,28,0.001902045,0.181191355,0.28008088,6,7,5.29E-04,9606,Homo sapiens,FRS2,,R-HSA-5654692;R-HSA-5654596;R-HSA-5654594;R-HSA-5654690;R-HSA-5654592;R-HSA-5654591
R-HSA-5654712,FRS-mediated FGFR4 signaling,1,28,0.001902045,0.181191355,0.28008088,7,9,6.80E-04,9606,Homo sapiens,FRS2,,R-HSA-5654422;R-HSA-5654663;R-HSA-5654658;R-HSA-5654418;R-HSA-8941613;R-HSA-5654655;R-HSA-5654664
R-HSA-76071,RNA Polymerase III Transcription Initiation From Type 3 Promoter,1,28,0.001902045,0.181191355,0.28008088,3,4,3.02E-04,9606,Homo sapiens,BRF2,,R-HSA-83793;R-HSA-112152;R-HSA-83803
R-HSA-75067,Processing of Capped Intronless Pre-mRNA,1,28,0.001902045,0.181191355,0.28008088,5,10,7.56E-04,9606,Homo sapiens,CPSF1,,R-HSA-77589;R-HSA-77591;R-HSA-77590;R-HSA-77593;R-HSA-77592
R-HSA-212676,Dopamine Neurotransmitter Release Cycle,1,28,0.001902045,0.181191355,0.28008088,2,5,3.78E-04,9606,Homo sapiens,STX1A,,R-HSA-380869;R-HSA-380574
R-HSA-77387,Insulin receptor recycling,1,28,0.001902045,0.181191355,0.28008088,2,6,4.54E-04,9606,Homo sapiens,ATP6V1C1,,R-HSA-74723;R-HSA-5252133
R-HSA-74182,Ketone body metabolism,1,28,0.001902045,0.181191355,0.28008088,2,11,8.32E-04,9606,Homo sapiens,CSE1L,,R-HSA-73920;R-HSA-73912
R-HSA-168799,Neurotoxicity of clostridium toxins,1,28,0.001902045,0.181191355,0.28008088,1,40,0.00302366,9606,Homo sapiens,STX1A,,R-HSA-181567
R-HSA-3214847,HATs acetylate histones,2,110,0.007472318,0.185388858,0.28008088,3,15,0.001133873,9606,Homo sapiens,MYST3;C20orf20,,R-HSA-3318486;R-HSA-3321975;R-HSA-5579023
R-HSA-9009391,Extra-nuclear estrogen signaling,2,110,0.007472318,0.185388858,0.28008088,2,38,0.002872477,9606,Homo sapiens,CCND1,,R-HSA-9623355;R-HSA-9623341
R-HSA-166208,mTORC1-mediated signalling,1,29,0.001969975,0.187022115,0.28008088,2,8,6.05E-04,9606,Homo sapiens,EIF4EBP1,,R-HSA-165692;R-HSA-165708
R-HSA-446210,Synthesis of UDP-N-acetyl-glucosamine,1,29,0.001969975,0.187022115,0.28008088,1,7,5.29E-04,9606,Homo sapiens,GNPNAT1,,R-HSA-449734
R-HSA-69618,Mitotic Spindle Checkpoint,2,111,0.007540249,0.187951387,0.28008088,5,7,5.29E-04,9606,Homo sapiens,NUP107;UBE2C,,R-HSA-141409;R-HSA-141431;R-HSA-141422;R-HSA-141439;R-HSA-141423
R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),1,30,0.002037905,0.192811745,0.28008088,1,1,7.56E-05,9606,Homo sapiens,BRCA1,,R-HSA-5693589
R-HSA-5357956,TNFR1-induced NFkappaB signaling pathway,1,30,0.002037905,0.192811745,0.28008088,2,5,3.78E-04,9606,Homo sapiens,SHARPIN,,R-HSA-5357776;R-HSA-5357904
R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,1,30,0.002037905,0.192811745,0.28008088,2,6,4.54E-04,9606,Homo sapiens,STX1A,,R-HSA-374899;R-HSA-374922
R-HSA-264876,Insulin processing,1,30,0.002037905,0.192811745,0.28008088,1,16,0.001209464,9606,Homo sapiens,STX1A,,R-HSA-9023173
R-HSA-3371453,Regulation of HSF1-mediated heat shock response,2,113,0.007676109,0.193091323,0.28008088,8,14,0.001058281,9606,Homo sapiens,NUP107;HSF1,,R-HSA-3371467;R-HSA-3371435;R-HSA-3371531;R-HSA-5252041;R-HSA-5333051;R-HSA-4793925;R-HSA-3371518;R-HSA-4793911
R-HSA-1912422,Pre-NOTCH Expression and Processing,2,113,0.007676109,0.193091323,0.28008088,3,38,0.002872477,9606,Homo sapiens,CCND1;ATP2A2,,R-HSA-4395227;R-HSA-1912374;R-HSA-1912416
R-HSA-69275,G2/M Transition,3,212,0.014401196,0.193302313,0.28008088,18,78,0.005896137,9606,Homo sapiens,MYBL2;TUBG1,,R-HSA-380455;R-HSA-380294;R-HSA-380303;R-HSA-4088309;R-HSA-4088306;R-HSA-8853419;R-HSA-4088307;R-HSA-4088305;R-HSA-3000319;R-HSA-380311;R-HSA-4088298;R-HSA-4088299;R-HSA-380272;R-HSA-8853405;R-HSA-2574845;R-HSA-3000310;R-HSA-380283;R-HSA-2574840
R-HSA-453274,Mitotic G2-G2/M phases,3,214,0.014537056,0.196919477,0.28008088,18,80,0.00604732,9606,Homo sapiens,MYBL2;TUBG1,,R-HSA-380455;R-HSA-380294;R-HSA-380303;R-HSA-4088309;R-HSA-4088306;R-HSA-8853419;R-HSA-4088307;R-HSA-4088305;R-HSA-3000319;R-HSA-380311;R-HSA-4088298;R-HSA-4088299;R-HSA-380272;R-HSA-8853405;R-HSA-2574845;R-HSA-3000310;R-HSA-380283;R-HSA-2574840
R-HSA-5654695,PI-3K cascade:FGFR2,1,31,0.002105835,0.198560535,0.28008088,6,7,5.29E-04,9606,Homo sapiens,FRS2,,R-HSA-5654614;R-HSA-5654612;R-HSA-5654622;R-HSA-5654620;R-HSA-5654701;R-HSA-5654697
R-HSA-5654693,FRS-mediated FGFR1 signaling,1,31,0.002105835,0.198560535,0.28008088,7,9,6.80E-04,9606,Homo sapiens,FRS2,,R-HSA-5654575;R-HSA-5654586;R-HSA-5654587;R-HSA-5654584;R-HSA-5654392;R-HSA-8941623;R-HSA-5654569
R-HSA-174411,Polymerase switching on the C-strand of the telomere,1,31,0.002105835,0.198560535,0.28008088,4,6,4.54E-04,9606,Homo sapiens,TERF1,,R-HSA-174448;R-HSA-174439;R-HSA-174452;R-HSA-174447
